Time (s),Force (N)
1.298168659210205,7.424384942650643
1.4426875114440918,8.129475405029888
1.6557433605194092,4.464233298571864
1.7671144008636475,1.5553728745222972
1.8759064674377441,3.2687129732520157
1.9837830066680908,1.3088877712684532
2.090728521347046,8.259709111924403
2.2032670974731445,3.027272877808512
2.310253858566284,7.577644850110764
2.4272680282592773,0.9953991067690426
2.5302538871765137,0.3435500297866112
2.6388235092163086,2.5560649050773234
2.8582544326782227,0.9439045341092622
2.9662997722625732,1.9909064543856758
3.0775845050811768,1.8983275332029415
3.184785842895508,8.941173315080409
3.2962512969970703,4.9196002922260815
3.4082162380218506,5.678522845239139
3.5193045139312744,7.791718770899917
3.629758596420288,6.360709191706553
3.740441083908081,1.3380660860537963
3.851691961288452,7.18517953225464
3.9630112648010254,9.817600286714503
4.074738264083862,2.7338404558219698
4.17000412940979,6.750610691405199
4.2800421714782715,8.513570295847812
4.389410734176636,6.624171117502931
4.500120639801025,8.651054524043808
4.608875274658203,6.7310700011534
4.718867063522339,1.6165634764966097
4.830099821090698,3.5703126357263635
4.9414591789245605,4.8785020343171634
5.052180051803589,5.039467366677184
5.162638187408447,5.0419870277161785
5.271930694580078,5.797314084016142
5.383063793182373,8.718420376649926
5.492675542831421,9.353724023565977
5.6040120124816895,7.79418584083354
5.714471340179443,5.030806339857391
5.824615478515625,7.137120316885323
5.934770107269287,3.370667670054115
6.04584813117981,1.9853592730684488
6.156925201416016,9.048698779537759
6.267681360244751,9.56239437194191
6.376881837844849,3.6614354860240503
6.485476732254028,0.5901673104870253
6.592248916625977,7.147603124751404
6.706807613372803,7.551063757398717
6.876694917678833,0.14847712909187294
7.051187038421631,9.24443601124435
7.217094659805298,4.232018323412978
7.385021448135376,5.477406357850244
7.560901165008545,7.612897547553653
7.762785911560059,1.780548982885225
7.904362916946411,9.506916839918548
8.01572299003601,0.9610272307325918
8.181635618209839,3.9554060980678276
8.343077421188354,4.360509189947036
8.56364393234253,0.49993204533654745
8.672224998474121,0.32414422317851743
8.784586668014526,4.550874796796
8.892820358276367,2.6051440570245186
9.003613710403442,9.8819388496506
9.175540924072266,7.071449045508964
9.333318948745728,9.786921069605622
9.554132461547852,8.343023626494293
9.776093244552612,3.938346149090269
9.886000871658325,8.871427711269162
9.981473445892334,3.933810387864609
10.091001033782959,2.6873349904641786
10.201684474945068,3.2410379979232484
10.312599658966064,4.6197140486753145
10.480528116226196,0.18475641476538684
10.64354658126831,3.864593497373444
10.754884958267212,7.27947586846552
10.866090536117554,5.041380438246663
10.972166061401367,5.301671536656574
11.088859558105469,1.0925276001029693
11.30856728553772,9.321979220899404
11.418795585632324,6.456555870401202
11.601695537567139,7.3278324011965825
11.74988341331482,7.53635628860089
11.861302375793457,5.145340909191992
11.97152590751648,4.997282697651217
12.08215880393982,1.2623749378714089
12.192854404449463,6.918906331200848
12.373193740844727,4.233095343193337
12.525716543197632,6.198372447555938
12.744933366775513,1.916687193103741
12.95185399055481,7.8976448789053055
13.063301086425781,7.219402004912624
13.173101902008057,9.36420535460737
13.392940044403076,4.465291158724626
13.49788761138916,9.705272692554523
13.6113920211792,2.0232133446353187
13.717050790786743,1.2573825497341684
13.827254056930542,1.6156383017818698
13.9359290599823,0.9656905504976776
14.047929525375366,3.935283471099199
14.161232233047485,9.149215441721907
14.265520334243774,5.472411078201226
14.376949548721313,8.622891974991884
14.494582891464233,2.4992314220260017
14.60632038116455,4.221134423527388
14.717355728149414,4.468460861239692
14.826682806015015,6.889911022157699
14.93730878829956,0.10387195014375461
15.101497411727905,4.099249382577006
16.059733629226685,2.8548306762698417
16.1723575592041,1.6848818144414213
16.263291835784912,1.8600563644692514
16.359063386917114,7.05505776186445
16.471731662750244,2.2438805493022453
16.579163551330566,7.735436500404626
16.68724489212036,8.294808693365555
16.797245264053345,4.468849030191857
16.917081594467163,3.7344181892241246
17.015279054641724,5.229232680061104
17.12723994255066,3.7318433602698544
17.235965728759766,0.7683889868354432
17.344966411590576,5.5368017469443895
17.77539849281311,6.879930210123055
17.999251127243042,2.096911963889121
18.107182264328003,6.074953093209765
18.221639394760132,8.710047668745444
18.438400506973267,5.8842005831867725
18.547242403030396,5.805805883173862
18.658567428588867,3.667946015279442
18.76374912261963,6.875274883048411
18.875407695770264,3.27253539245981
18.987379789352417,4.753098611689812
